City,State,2010 Population,CBSA Code,CO ,Pb,NO2,NO2,O3,PM10,PM2.5 (WAM),PM2.5 (24hr),SO2
Aberdeen,SD,40602,10100,,,,,,106,4.2,15,
Aberdeen,WA,72797,10140,,,,,,,,,
Ada,OK,37492,10220,,,,,,45,,,
Adjuntas,PR,19483,10260,,,,,,,,,
Adrian,MI,99892,10300,,,,,0.065,,8.3,23,
Aguadilla-Isabela,PR,339441,10380,,,,,,,,,
Akron,OH,703200,10420,,,,,0.071,,7.9,19,6
Albany,GA,157308,10500,,,,,,,8.3,17,
Albany,OR,116672,10540,,,,,,,,,
Albany-Schenectady-Troy,NY,870716,10580,,,,,0.06,,6.7,17,
Albert Lea,MN,31255,10660,,,,,,,,,
Albuquerque,NM,887077,10740,2,,9,44,0.074,449,10.7,31,3
Alexandria,LA,153922,10780,,,,,,,7.7,17,
Alexandria,MN,36009,10820,,,,,,,,,
Alpena,MI,29598,10980,,,,,,,,,
Altoona,PA,127089,11020,,,,,0.062,,,,6
Amarillo,TX,251933,11100,,,,,0.071,,6.2,16,158
Americus,GA,37829,11140,,,,,0.059,,,,
Ames,IA,89542,11180,,,,,,,,,
Anchorage,AK,380821,11260,2,,,,,101,4.9,24,
Ann Arbor,MI,344791,11460,,,,,0.067,,8.9,26,
Appleton,WI,225666,11540,,,,,0.063,,7.6,20,82
Ardmore,OK,47557,11620,,,,,0.075,,7.7,23,
Arecibo,PR,199471,11640,,0.35,,,,,,,
Arkadelphia,AR,22995,11660,,,,,0.06,,,,
Asheville,NC,424858,11700,,,,,0.064,,5.8,12,35
Ashtabula,OH,101497,11780,,,,,0.073,,,,
Athens,OH,64757,11900,,,,,,,5.5,13,
Athens,TN,52266,11940,,,,,,,7.7,16,
Athens-Clarke County,GA,192541,12020,,,,,0.063,,9.1,22,
Atlanta-Sandy Springs-Roswell,GA,5286728,12060,2,,16,52,0.069,48,8.9,19,4
Atlantic City-Hammonton,NJ,274549,12100,,,,,0.06,,6.1,13,1
Augusta-Waterville,ME,122151,12300,,,,,0.054,37,4.9,14,
Austin-Round Rock,TX,1716289,12420,1,,13,,0.073,57,9.5,23,
Bakersfield,CA,839631,12540,1,,22,55,0.087,243,16.6,52,
Baltimore-Columbia-Towson,MD,2710489,12580,1,,15,44,0.069,20,6.9,16,3
Bangor,ME,153923,12620,,,,,0.059,47,4.8,12,
Baraboo,WI,61976,12660,,,,,0.06,55,7.3,19,
Barnstable Town,MA,215888,12700,,,,,0.06,,,,
Barre,VT,59534,12740,,,,,,,,,
Bartlesville,OK,50976,12780,,,,,,,,,
Baton Rouge,LA,802484,12940,1,0.01,8,43,0.072,68,9.1,20,20
Bay City,MI,107771,13020,,,,,,,6.4,18,
Beatrice,NE,22311,13100,,,,,,,,,
Beaumont-Port Arthur,TX,403190,13140,,,6,34,0.065,,8.5,21,56
Beaver Dam,WI,88759,13180,0,,,,0.065,60,7.4,20,2
Beckley,WV,124898,13220,,,,,,,,,
Bellingham,WA,201140,13380,,,,,0.048,,,,3
Bemidji,MN,44442,13420,,,,,,,4.7,11,
Bend-Redmond,OR,157733,13460,,,,,,,,,
Bennington,VT,37125,13540,,,,,0.057,,5.5,12,
Big Spring,TX,36238,13700,,,,,,,,,146
Billings,MT,158934,13740,,,,,,,6.7,22,26
Binghamton,NY,251725,13780,,,,,,,,,
Birmingham-Hoover,AL,1128047,13820,1,,9,40,0.066,79,11.7,26,50
Bishop,CA,3879,13860,0,,,,0.069,700,9.7,32,1
Bismarck,ND,114778,13900,0,,4,32,0.056,83,8.1,21,10
Blacksburg-Christiansburg-Radford,VA,178237,13980,,0,,,0.062,,,,62
Bloomington,IL,186133,14010,,,,,0.069,,8.7,21,
Bloomington,IN,159549,14020,,,,,0.063,,7.1,17,
Blytheville,AR,46480,14180,,,,,,,,,
Boise City,ID,616561,14260,1,,10,48,0.071,107,10.5,37,2
Boone,NC,51079,14380,,,,,,,,,
Borger,TX,22150,14420,,,,,,,,,107
Boulder,CO,294567,14500,,,,,0.072,42,6.6,24,
Bowling Green,KY,158599,14540,0,,,,0.063,,7.4,16,2
Bozeman,MT,89513,14580,1,,2,,,,3.6,15,
Brainerd,MN,91067,14660,,,,,0.055,,5.9,16,
Bremerton-Silverdale,WA,251133,14740,,,,,,,6.4,20,
Bridgeport-Stamford-Norwalk,CT,916829,14860,,,8,39,0.081,37,7.6,20,3
Brookings,SD,31965,15100,,,,,0.062,124,3.7,13,
Brownsville-Harlingen,TX,406220,15180,,,,,0.057,,10.2,31,
Brunswick,GA,112370,15260,,,,,0.056,,8.8,21,
Buffalo-Cheektowaga-Niagara Falls,NY,1135509,15380,1,,10,51,0.068,60,6.6,17,11
Burlington,NC,151131,15500,,,,,,,,,
Burlington-South Burlington,VT,211261,15540,0,,,,0.057,14,6.8,14,
Butte-Silver Bow,MT,34200,15580,,,,,,105,7.8,40,
Cadillac,MI,47584,15620,,,1,8,0.073,,8.9,17,
Cambridge,MD,32618,15700,,,,,0.062,,6.9,13,1
Cambridge,OH,40087,15740,,,,,,,,,33
Canon City,CO,46824,15860,,,,,,106,,,
Canton-Massillon,OH,404422,15940,,0.12,,,0.066,,8.7,23,
Cape Coral-Fort Myers,FL,618754,15980,,,,,0.058,69,,,
Carlsbad-Artesia,NM,53829,16100,,,5,32,0.083,,,,
Carson City,NV,55274,16180,,,,,0.062,,5.7,41,
Casper,WY,75450,16220,,,4,33,0.06,,3.3,9,8
Cedar City,UT,46163,16260,,,6,38,0.061,,5.7,12,
Cedar Rapids,IA,257940,16300,,,,,0.059,59,7.3,19,47
Centralia,WA,75455,16500,,,,,,,,,
Chambersburg-Waynesboro,PA,149618,16540,,,,,0.059,,,,
Champaign-Urbana,IL,231891,16580,0,,,,0.068,,7.8,18,5
Charleston,WV,227078,16620,1,,,,0.061,,7.3,15,5
Charleston-North Charleston,SC,664607,16700,,,6,34,0.062,53,7.5,15,16
Charlottesville,VA,218705,16820,,,,,0.056,,7.7,15,
Cheyenne,WY,91738,16940,0,,3,27,0.062,76,5.3,12,4
Chico,CA,220000,17020,1,,5,26,0.067,61,7.7,27,
Clarksburg,WV,94196,17220,,,,,,,6.7,13,
Clearlake,CA,64665,17340,,,,,0.053,22,4.3,10,
Cleveland,MS,34145,17380,,,,,0.063,,8.6,22,
Cleveland-Elyria,OH,2077240,17460,3,0.02,10,49,0.076,77,11,27,28
Clinton,IA,49116,17540,,,,,0.063,,8.1,22,75
Coeur d'Alene,ID,138494,17660,,,,,,,,,
College Station-Bryan,TX,228660,17780,,,,,,,7.8,22,12
Colorado Springs,CO,645613,17820,1,,,,0.069,42,4.5,12,5
Columbia,MO,162642,17860,,,,,0.057,,,,
Columbia,SC,767598,17900,1,,3,30,0.064,32,7.1,12,
Columbus,IN,76794,18020,,,,,0.066,,6.6,15,
Columbus,MS,59779,18060,,,,,,,,,
Columbus,OH,1901974,18140,1,,10,42,0.069,54,8.7,21,3
Concord,NH,146445,18180,,,,,0.057,,,,33
Cookeville,TN,106042,18260,,,,,,,6.3,16,
Corning,NY,98990,18500,0,,,,0.055,,5.5,12,2
Corpus Christi,TX,428185,18580,,,,,0.062,39,8.3,22,4
Corsicana,TX,47735,18620,,,3,,0.066,,,,119
Corvallis,OR,85579,18700,,,,,,,,,
Crawfordsville,IN,38124,18820,,,,,,,,,
Crescent City,CA,28610,18860,,,,,,,,,
Crestview-Fort Walton Beach-Destin,FL,235865,18880,,,,,0.061,76,,,
Cullowhee,NC,40271,19000,,,,,,,,,
Dallas-Fort Worth-Arlington,TX,6426214,19100,1,0.01,14,52,0.082,82,9.8,27,16
Dalton,GA,142227,19140,,,,,0.066,,,,
Danville,VA,106561,19260,,,2,,,,,,
Daphne-Fairhope-Foley,AL,182265,19300,,,,,0.063,,7.3,15,
Dayton,OH,799232,19380,0,,,,0.069,66,8.7,20,7
Decatur,AL,153829,19460,,,,,0.065,,8.5,21,
Decatur,IL,110768,19500,,,,,0.065,,8.7,20,55
Deltona-Daytona Beach-Ormond Beach,FL,590289,19660,,,,,0.06,54,8.4,17,
Deming,NM,25095,19700,,,,,,336,,,
Denver-Aurora-Lakewood,CO,2543482,19740,2,,24,63,0.078,89,7.4,18,5
Des Moines-West Des Moines,IA,569633,19780,,,6,35,0.057,62,7,17,
Detroit-Warren-Dearborn,MI,4296250,19820,2,0.04,14,51,0.071,77,12,33,108
Dickinson,ND,24199,19860,,,,,0.053,,5.5,13,5
Dodge City,KS,33848,19980,,,,,,164,,,
Dothan,AL,145639,20020,,,,,,,,,
Douglas,GA,42356,20060,,,,,,,7,18,
Dover,DE,162310,20100,,,,,0.052,,,,
DuBois,PA,81642,20180,,,,,0.055,,,,
Durango,CO,51334,20420,0,,4,18,0.067,,,,
Durham-Chapel Hill,NC,504357,20500,,,,,0.062,28,6.7,13,3
Dyersburg,TN,38335,20540,,,,,,,7.5,19,
Eagle Pass,TX,54258,20580,,,,,,,7.6,23,
East Stroudsburg,PA,169842,20700,,,,,0.06,,,,
Eau Claire,WI,161151,20740,,,,,0.058,61,7.2,19,
Effingham,IL,34242,20820,,,,,0.067,,,,
El Centro,CA,174528,20940,3,,10,49,0.075,765,11,32,6
El Dorado,AR,41639,20980,,,,,,,9.1,27,
Elizabeth City,NC,64094,21020,,,,,,,,,
Elizabethtown-Fort Knox,KY,148338,21060,,,,,0.063,,8,17,
Elkhart-Goshen,IN,197559,21140,,,,,0.06,,8.5,30,
Elko,NV,50805,21220,,,,,,176,,,
Ellensburg,WA,40915,21260,,,,,,,7.1,25,
El Paso,TX,804123,21340,2,,13,53,0.079,88,9.2,20,5
Enid,OK,60580,21420,,,,,,,,,38
Erie,PA,280566,21500,1,,5,34,0.059,32,7.1,17,
Espanola,NM,40246,21580,,,,,0.062,,,,
Eugene,OR,351715,21660,,,,,0.059,350,23.3,247,
Eureka-Arcata-Fortuna,CA,134623,21700,1,,2,15,0.035,53,6.8,20,1
Evanston,WY,21118,21740,,,,,,60,,,
Fairbanks,AK,97581,21820,3,,,,0.055,171,12.7,84,33
Fairmont,WV,56418,21900,,,,,,,7.1,15,
Fallon,NV,24877,21980,,,,,0.059,,,,
Farmington,NM,130044,22140,,,9,32,0.069,270,,,5
Fayetteville,NC,366383,22180,,,,,0.068,40,7.7,15,
Fergus Falls,MN,57303,22260,,,,,,,,,
Fernley,NV,51980,22280,,,,,0.061,,,,
Findlay,OH,74782,22300,,,,,,,,,13
Flagstaff,AZ,134421,22380,,,,,0.066,,,,
Flint,MI,425790,22420,,,,,0.067,,8.2,20,
Florence,SC,205566,22500,,0,,,0.061,,8.3,15,
Florence-Muscle Shoals,AL,147137,22520,,,,,,,,,
Fond du Lac,WI,101633,22540,,,,,0.064,,,,
Fort Collins,CO,299630,22660,1,,,,0.073,,6.5,17,
Fort Payne,AL,14101,22840,,,,,0.061,,6.9,14,
Fort Wayne,IN,416257,23060,,,,,0.069,,8.5,23,
Frankfort,KY,70706,23180,,,,,,,,,
Fresno,CA,930450,23420,2,,20,53,0.081,172,14.8,43,
Gadsden,AL,104430,23460,,,,,0.062,,8.2,18,
Gainesville,FL,264275,23540,,,,,0.058,,7,13,
Gainesville,GA,179684,23580,,,,,,,8.8,18,
Gardnerville Ranchos,NV,46997,23820,,,,,,,6.1,27,
Georgetown,SC,60158,23860,,,,,,,,,
Gettysburg,PA,101407,23900,0,,3,15,0.061,,8.4,20,
Gillette,WY,46133,23940,,,1,6,0.061,260,6,22,
Glenwood Springs,CO,73537,24060,,,,,0.059,55,,,
Goldsboro,NC,122623,24140,,,,,,,,,
Grand Island,NE,81850,24260,,,,,,,5.7,16,
Grand Junction,CO,146723,24300,,,,,0.062,72,5.2,15,
Grand Rapids-Wyoming,MI,988938,24340,1,,7,36,0.071,53,9.4,25,3
Grants Pass,OR,82713,24420,,,,,,,9.6,28,
Great Falls,MT,81327,24500,,,,,,,,,
Greeley,CO,252825,24540,1,,8,47,0.073,,6.8,22,
Green Bay,WI,306241,24580,,,,,0.072,,7.4,20,6
Greenfield Town,MA,71372,24640,,,,,0.06,,7.2,19,
Greensboro-High Point,NC,723801,24660,,,,,0.063,24,8.3,16,
Greenville,NC,168148,24780,,,,,0.06,,6,12,
Greenville-Anderson-Mauldin,SC,824112,24860,,,7,40,0.066,36,8.4,19,2
Greenwood,SC,95078,24940,,,,,,,,,
Grenada,MS,21906,24980,,,,,,,,,
Guayama,PR,84214,25020,,,,,,45,,,
Gulfport-Biloxi-Pascagoula,MS,370702,25060,,,3,30,0.065,,8.9,20,5
Hammond,LA,121097,25220,,,,,,,7.7,17,
Hanford-Corcoran,CA,152982,25260,,,8,41,0.075,247,14.7,43,
Harrisburg-Carlisle,PA,549475,25420,,,,,0.063,36,9.8,25,
Harrison,AR,45233,25460,,,,,0.064,,,,
Harrisonburg,VA,125228,25500,,,8,36,0.056,,6.5,13,2
Hartford-West Hartford-East Hartford,CT,1212381,25540,1,,13,42,0.074,46,7.2,18,
Hattiesburg,MS,142842,25620,,,,,,,10.2,23,
Helena,MT,74801,25740,1,,,,0.057,,8.4,34,1
Helena-West Helena,AR,21757,25760,,,,,,,,,
Hermiston-Pendleton,OR,87062,25840,,,,,0.064,,,,
Hickory-Lenoir-Morganton,NC,365497,25860,,,,,0.06,24,7.9,17,2
Hilo,HI,185079,25900,,,,,,,4.7,9,229
Hilton Head Island-Bluffton-Beaufort,SC,187010,25940,,,,,,,,,
Hobbs,NM,64727,26020,,,4,32,0.072,,6.8,22,
Holland,MI,111408,26090,,,,,0.073,,6.7,18,
Homosassa Springs,FL,141236,26140,,,,,,,,,14
Hot Springs,AR,96024,26300,,,,,,,,,
Houma-Thibodaux,LA,208178,26380,,,,,0.059,,7.4,17,
Houston-The Woodlands-Sugar Land,TX,5920416,26420,2,,18,59,0.084,140,11.8,27,14
Huntsville,AL,417593,26620,,,,,0.065,66,7.4,16,
Hutchinson,MN,36651,26780,,,,,,,,,
Idaho Falls,ID,133265,26820,,,,,0.06,,,,
Indiana,PA,88880,26860,,,,,0.059,,7.6,15,16
Indianapolis-Carmel-Anderson,IN,1887877,26900,1,,11,43,0.072,100,12.2,31,7
Ionia,MI,63905,26960,,0.06,,,,,,,
Iowa City,IA,152586,26980,,,,,,,7.5,20,
Ithaca,NY,101564,27060,,,,,0.059,,,,
Jackson,MS,567122,27140,1,,,,0.062,102,9.9,26,2
Jackson,TN,130011,27180,,,,,,,8,18,
Jacksonville,FL,1345596,27260,1,,10,42,0.064,66,8.8,19,41
Jacksonville,NC,177772,27340,,,,,,,,,
Jamestown-Dunkirk-Fredonia,NY,134905,27460,,,,,0.071,,5.6,15,
Janesville-Beloit,WI,160331,27500,,,,,0.065,,,,
Jasper,IN,54734,27540,,,,,,46,8.6,21,
Jefferson City,MO,149807,27620,,,,,0.059,,,,
Johnstown,PA,143679,27780,1,,6,34,0.063,31,10.2,23,12
Jonesboro,AR,121026,27860,,,,,,,,,
Joplin,MO,175518,27900,,,,,0.069,132,,,
Juneau,AK,31275,27940,,,,,,38,5.3,23,
Kahului-Wailuku-Lahaina,HI,154924,27980,,,,,,,4,8,
Kalamazoo-Portage,MI,326589,28020,,,,,0.068,,10.3,29,
Kalispell,MT,90928,28060,,,,,0.052,114,8.4,30,
Kapaa,HI,67091,28180,,,,,,,,,
Keene,NH,77117,28300,,,,,0.059,,5.9,17,
Kennewick-Richland,WA,253340,28420,,,,,0.064,125,,,
Ketchikan,AK,13477,28540,,,,,,,,,
Killeen-Temple,TX,405300,28660,,,,,0.069,,7,23,
Kingsville,TX,32477,28780,,,,,,,10.1,30,
Kinston,NC,59495,28820,,,,,0.064,,,,
Klamath Falls,OR,66380,28900,,,,,,,8.6,31,
Knoxville,TN,837571,28940,0,0.04,1,,0.068,37,8.7,17,
Kokomo,IN,82752,29020,,,,,0.071,,7.3,18,
Laconia,NH,60088,29060,,,,,0.056,,4.5,11,
Lafayette,LA,466750,29180,,,,,0.065,84,7.9,17,
Lafayette-West Lafayette,IN,201789,29200,,,,,0.066,,7.2,17,
La Grande,OR,25748,29260,,,,,,44,,,
Lake Charles,LA,199607,29340,,,5,29,0.065,104,7.6,23,23
Lake City,FL,67531,29380,,,,,0.062,,,,
Lake Havasu City-Kingman,AZ,200186,29420,,,,,,111,,,
Lakeland-Winter Haven,FL,602095,29460,,,,,0.062,44,7.8,15,
Lancaster,PA,519445,29540,,0.03,,,0.061,29,8.9,25,
